platform,genre,mode,group,type
console pc,action,single,production,tools
console pc,action,single,production,technical
console pc,action,single,production,bugs
console pc,action,single,management-people,crunch-time
console pc,action,single,management-people,team
console pc,action,single,management-feature,cutting-features
console pc,action,single,management-feature,budget
console pc,action,single,business,marketing
console pc,strategy,single,production,design
console pc,strategy,single,production,technical
console pc,strategy,single,management-people,team
console pc,strategy,single,management-feature,budget
console pc,strategy,single,management-feature,planning
console pc,strategy,single,business,marketing
console pc,strategy,single,business,monetization
mobile,platformer,single,production,technical
mobile,platformer,single,business,marketing
console pc,adventure,single,production,design
console pc,adventure,single,production,technical
console pc,adventure,single,management-feature,cutting-features
console pc,adventure,single,business,marketing
console pc,action,multi single,production,bugs
console pc,action,multi,production,design
console pc,action,multi,production,testing
console pc,action,multi,management-people,communication
console pc,action,multi,management-feature,scope
console pc,action,multi,business,marketing
console pc,action,multi,business,monetization
pc,roguelike,single,production,tools
pc,roguelike,single,management-people,team
pc,roguelike,single,business,marketing
pc,racing,multi single,production,tools
pc,racing,multi single,production,technical
pc,racing,multi single,production,testing
pc,racing,multi single,production,bugs
pc,racing,multi single,business,marketing
pc,racing,multi single,business,monetization
mobile pc,roguelike,single,production,design
mobile pc,roguelike,single,production,bugs
mobile pc,roguelike,single,management-people,team
mobile pc,roguelike,single,management-feature,cutting-features
mobile pc,roguelike,single,business,marketing
pc,adventure,single,production,design
pc,adventure,single,production,technical
pc,adventure,single,management-feature,scope
pc,adventure,single,management-feature,cutting-features
pc,adventure,single,management-feature,multiple-projects
pc,adventure,single,business,marketing
pc,rpg,single,production,technical
pc,rpg,single,management-feature,feature-creep
pc,rpg,single,management-feature,planning
pc,rpg,single,business,marketing
pc,rpg,single,business,monetization
pc,roguelike,multi single,production,design
pc,roguelike,multi single,production,tools
pc,roguelike,multi single,management-people,communication
pc,roguelike,multi single,management-people,team
pc,roguelike,multi single,business,marketing
